iter	Passed	Remaining
990	19365	175
991	19389	156
992	19419	136
993	19447	117
994	19474	97
995	19496	78
996	19525	58
997	19552	39
998	19572	19
999	19590	0
